sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_P,135,54.7522,30,20,5157.100987,0.395630563,26.42109371,13585.04979
OAT_P,135,53.4693,30,20,5153.372116,0.394347732,26.40267281,13579.70228
OAT_P,135,58.0592,30,20,5166.713097,0.398937387,26.46857826,13598.83435
OAT_P,135,48.3761,30,20,5138.568247,0.389254804,26.32954059,13558.47231
OAT_P,135,57.1518,30,20,5164.075653,0.398030035,26.45554908,13595.05204
OAT_P,135,44.5741,30,20,5127.517372,0.385453007,26.27494844,13542.62445
OAT_P,135,55.4067,30,20,5159.003354,0.396285028,26.43049155,13587.77794
OAT_P,135,42.1463,30,20,5120.460741,0.383025337,26.24008816,13532.50466
OAT_P,135,42.4733,30,20,5121.411198,0.383352319,26.24478348,13533.86769
OAT_P,135,52.7395,30,20,5151.250883,0.393617971,26.39219376,13576.66026
OAT_P,135,51.0701,30,20,5146.398614,0.39194866,26.36822319,13569.70171
OAT_P,135,46.2879,30,20,5132.498695,0.387166716,26.29955655,13549.76808
OAT_P,135,48.7308,30,20,5139.599216,0.389609485,26.33463365,13559.95081
OAT_P,135,51.3259,30,20,5147.142121,0.392204446,26.37189617,13570.76796
OAT_P,135,42.2938,30,20,5120.889464,0.383172829,26.24220608,13533.11948
OAT_P,135,47.5338,30,20,5136.120022,0.388412549,26.31744617,13554.96136
OAT_P,135,57.593,30,20,5165.358042,0.398471211,26.46188418,13596.89109
OAT_P,135,47.4827,30,20,5135.971495,0.388361452,26.31671244,13554.74836
OAT_P,135,56.8412,30,20,5163.172864,0.397719452,26.45108924,13593.75737
OAT_P,135,42.9903,30,20,5122.913907,0.383869292,26.25220698,13536.0227
OAT_P,135,45.5029,30,20,5130.217018,0.386381757,26.28828489,13546.49596
OAT_P,135,56.7221,30,20,5162.826689,0.397600358,26.44937911,13593.26092
OAT_P,135,47.6861,30,20,5136.562696,0.388564841,26.31963302,13555.59619
OAT_P,135,56.7422,30,20,5162.885111,0.397620457,26.44966772,13593.3447
OAT_P,135,41.7754,30,20,5119.382685,0.382654457,26.23476248,13530.95864
OAT_P,135,49.4923,30,20,5141.812588,0.390370944,26.34556788,13563.12497
OAT_P,135,45.6008,30,20,5130.501573,0.386479652,26.28969062,13546.90404
OAT_P,135,52.0863,30,20,5149.352295,0.392964806,26.3828146,13573.93753
OAT_P,135,44.6858,30,20,5127.842039,0.385564701,26.27655232,13543.09005
OAT_P,135,43.1924,30,20,5123.50133,0.384071381,26.25510889,13536.86511
OAT_P,135,51.1407,30,20,5146.603819,0.392019256,26.36923692,13569.99599
OAT_P,135,50.6401,30,20,5145.148778,0.391518683,26.36204891,13567.90934
OAT_P,135,53.0589,30,20,5152.17925,0.393937354,26.39677996,13577.99162
OAT_P,135,56.4528,30,20,5162.043943,0.397331072,26.44551228,13592.1384
OAT_P,135,53.1204,30,20,5152.358005,0.39399885,26.39766303,13578.24797
OAT_P,135,42.5746,30,20,5121.705636,0.383453614,26.24623803,13534.28994
OAT_P,135,51.4446,30,20,5147.487133,0.39232314,26.37360056,13571.26273
OAT_P,135,51.7803,30,20,5148.462877,0.392658822,26.37842081,13572.66203
